ID,recommendedProjects
12224,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12225,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12226,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12227,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12228,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12229,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12230,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12231,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12232,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12233,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12234,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12235,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12236,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12237,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12238,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12239,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12240,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12241,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12242,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12243,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12244,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12245,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12246,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12247,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12248,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12249,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12250,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12251,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12252,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12253,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12254,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
